search_category,job_title,company_name,location,salary,experience_years,final_job_description,state
Business Analyst,"Analyst II, Digital Loss Prevention Analytics NA",NIKE,"New York, NY 10001",89800.0 - 177200.0,2+,open remote except south dakota vermont west virginia annual base range lowest geographic market highest geographic market actual vary based benefit found youll digital loss prevention dlp expert identifying fraud abuse systematic loophole result financial loss north america deliver solution protect profit reduce friction member maximize investment business deliver best possible product consumer report dlp analytics manager closely dlp quality assurance fraud insight looking business intelligence data analyst join na dlp expected self starter agile problem solver comfort curiosity leveraging solve complex data problem learning new technique ideal take ownership phase great data technical excellence writing efficient code pipeline implement strong data visualization principle aim business question turn insight communicate technical non technical stakeholder bachelors degree data science statistic math computer science business analytics related field accept suitable combination education training year synthesizing insight data highly advanced knowledge sql relational database concept window function complex join pivot unpivot query optimization etc strong understanding data visualization principle least one dashboarding tool tableau power bi looker etc demonstrated ability build self serve tool technical non technical stakeholder answer common question increase data literacy across organization ability design metric help evaluate health business success etl development needed demonstrated ability take ambiguous problem solve structured hypothesis driven data supported way preferred familiarity python r scripting predictive descriptive modelling data visualization tableau optimizing published tableau server familiarity data warehousing tool databricks snowflake fraud dlp digital commerce analytics background analytics tool spark git jupyter cloud computing platform aws preferred youll support nike direct digital loss prevention north america use data reduce risk abusive customer reduce friction inefficiency throughout nike direct consumer encouraged learn deliver insight solution improve operational efficiency considered sme within department mentorship assistance internal cross functional teammate comfortable end ownership accurate agile data product dashboard working ambiguity solve open ended business problem available nike data set offer number accommodation complete interview process screen reader sign language interpreter single person interview closed captioning reasonable modification needed discover navigate application process need assistance accommodation due disability please complete accommodation request,NY
Business Analyst,Analyst Business Support,Enbridge,"Cisco, TX",,,end october type regular full time union non union part energy mean part endless opportunity growing power operation organization looking business support analyst join dynamic providing support regional manager plant manager operation coordinator region includes administration project finance p supply chain payment request authorization expenditure necessary support business need operating facility sound like youve looking would love hear today joinourteam support processing invoice order purchase order check request regional business support p function input coding processing support distribution landowner payment support site staff vendor set ups issue support expenditure project administration marking filing order support annual operation budget function preparation project creation account verification related university degree technical diploma limited combination related certification minimum five year related self starter strong dedication excellence ability independently using sound judgement attention detail great teammate focused result based approach support business activity advanced computer standard suite software word excel powerpoint etc willingness learn train individual necessary flexibility task assignment excellent interpersonal proven verbal written communication multitasking ability well pressure strong customer focus ability make valuable contribution company customer physical limited grasping kneeling light moderate lifting object pound reaching shoulder repetitive motion typing sitting standing visual see screen detect color coding read fine print hearing ability tight space mental limited ability understand remember oral written instruction understand complex problem collaborate explore alternative solution prioritize thought idea understandable terminology coordinate prioritize schedule short term basis make decision moderate impact immediate unit monitor impact outside area understand follow basic instruction guideline complete routine compose letter outline memoranda basic report communicate individual via telephone enbridge dedicated core value inclusion proud committed providing employment opportunity qualified individual without regard age race color national ethnic origin religion sex sexual orientation gender identity expression marital status family status veteran status indigenous status disability reason protected federal state local law applicant disability request format communication support accessibility assistance contacting careersenbridgecom applicant via online recruiting system appreciate interest working u however applicant selected interview contacted final may undergo criminal record check learn u,TX
Business Analyst,Business Systems Analyst,IDR Inc.,"Irving, TX 75060",104000.0,3+,idr seeking business system analyst join one top client irving tx gathering documenting detailed business system designing operational workflow producing critical project documentation charter status report meeting minute analyst engage directly stakeholder across department radiology pharmacy lab ancillary service ensuring alignment business need technology solution overview business system analyst play key leading emr third party system implementation within healthcare provider environment hospital clinic business system analyst year business system analyst prior within healthcare clinical industry hand emr system epic cerner athena hand rd party healthcare application sectra waystar capsule softbank bachelor degree whats competitive compensation package full benefit medical vision dental get industry leading organization close knit oriented culture idr year proven industry major market stock ownership program medical dental vision life insurance clearlyrateds best staffing client talent award winner year row li onsite,TX
Business Analyst,3 Data Analyst Contractors,Financial Additions,"14881 Quorum Dr Ste 330, Dallas, TX 75254",,2+,financial addidtions searching data analyst month contract special project within master data vendor database onsite north dallas requires quick start within day year data analyst working master data expert level excel strong winshuttle knowledge sap hana vendor customer database profile knowledge bachelor data analytics business accounting similar field indd,TX
Business Analyst,Business Systems Analyst Sr (Hybrid),Lower Colorado River Authority,"Austin, TX 78744",,,ft pt full time regular project seasonal regular austin tx city austin state texas category administrative support technology cyber hybrid ibm maximo expert passion reporting system optimization lower colorado river authority seeking senior business system analyst support technology initiative within transmission operation youll play central advancing technology roadmap working ibm maximo sql oracle sql server power bi deliver impactful solution across system trusted serve maximo subject matter expert ensuring system support transmission asset management identifying functional improvement aligning capability evolving business process analyze report maximo data insight transmission business operation focus compliance planning qa qc build maintain dashboard report using power bi contribute workflow improvement microsoft power platform power automate leverage understanding transmission system inform tool development improves operational efficiency utilize toad data point querying analyzing data support asset management need collaborate cross functional using jira track task document issue support project delivery qualify nine year developing documenting business serving liaison business partner relevant degree business computer science system relevant field may substituted per lcra guideline certain year great fit strong knowledge ibm maximo particularly power bi power platform reporting dashboard workflow automation proficiency sql oracle sql server querying analyzing operational data familiarity peoplesoft html toad data point understanding transmission system utility operation skilled communicating technical business user gather explain solution ability plan prioritize manage multiple workstreams balancing quick win longer term initiative collaborative problem solving mindset focused improving user system effectiveness gain competitive medical dental vision legal insurance time vacation sick family care leave k match includes student loan k contribution program option life disability insurance wellness program wellness incentive extensive learning development program create compelling rewarding environment lcra provides employment opportunity environment free discrimination harassment employment decision lcra based business need individual without regard race color religion gender identity national origin age disability sexual orientation genetic veteran status accordance applicable federal state legal governing nondiscrimination employment lcra committed working providing applicant physical mental disability applicant disability require part application hiring process lcra human resource email lcrabenefitslcraorg determined case basis application close central daylight time,TX
Business Analyst,Sr. Business Analyst,Homeworks Energy,"101 Station Landing, Medford, MA 02155",95000.0 - 115000.0,5+,senior business analyst type full time salaried eligible performance bonus require working onsite medford office least twice per week hybrid flexibility offered summary senior business analyst play critical aligning business operation technology solution partner closely stakeholder across departmentssuch sale operation marketing financeto understand challenge identify opportunity drive improvement system data senior business analyst help define streamline workflow ensure successful delivery technology enabled project improve efficiency scalability customer essential function essential function representative inclusive knowledge ability perform may made enable individual disability perform essential function business analysis gathering partner department leader process owner understand current pain point operational need business goal lead gathering session conduct stakeholder interview analyze workflow translate business need clear technical specification prepare maintain business user story process flow diagram cross functional collaboration solution alignment collaborate salesforce software operation ensure solution design feasible prioritized appropriately aligned business objective support qa uat effort change management ensure effective rollout user adoption tool process reporting kpis roi analysis perform data analysis reporting analyze track key performance indicator kpis measure project effectiveness support evaluation communication roi technology initiative perform additional task education bachelors degree business system related field masters plus year business analysis preferably fast paced operation heavy environment previous working field service industry construction plus strong understanding business system workflow area like crm salesforce field operation scheduling customer service hand tool like jira confluence lucidchart visio excel familiarity agile waterfall methodology ability independently cross functionally managing multiple priority stakeholder excellent written verbal communication present finding technical non technical audience python plus requires proficiency reading writing communicating english supervisory individual contributor supervisory environment hybrid flexible model combine remote site working remotely workspace free distraction hour perform physical demand requires sitting desk long period time performing task computer ability move within office attend meeting access equipment interact colleague homework energy celebrate diversity inclusion collaboration discriminate race color religion national origin sex age gender identity expression sexual orientation physical mental disability veteran status applicable characteristic employment decision based needed successfully perform,MA
Business Analyst,Senior Business Analyst,CARFAX,"Centreville, VA 20120",,10+,join carfax senior business analyst isnt time bragged carfax every day pride mission focused helping grow brand built accuracy integrity care deeply product customer were company help million consumer make informed decision every day know teammate valuable asset value balanced life tackling challenging project fast paced environment were seeking senior business analyst focus gathering business technical helping implement diverse set project within business technology organization youll hand driven set technologist project manager business technology leader across enterprise youll thrive environment well supported help launch best market product customer youll lead eliciting analyzing validating managing business process high level solution design partnership stakeholder project manager technical identify system develop procedure system modification meet specification collaborate business stakeholder project manager define project scope prioritize product backlog create refine maintain user story associated deliverable process flow test case meet stakeholder need business thoroughly understand business need supported system technology determine project change affect business operation system respond inquiry advice business regarding current potential system input process output perform detailed dependency analysis engage right technical cross functional solution building act liaison facilitating communication technology outside vendor research identify recommend software application improve current state system were looking minimum year relevant focusing technical business analysis considerable delivering technical project bachelors degree preferably business area discipline ie accounting marketing equivalent education demonstrated ability execute task sometimes vaguely defined using prior analytical available research strong organizational reflect ability perform prioritize handling multiple project fast paced environment effective communication leadership excellent problem solving analytical creating sequence data flow process flow diagram proficient microsoft office outlook word excel powerpoint project documentation tool eg atlassian familiarity sql based relational database aggregating extracting data sql database business intelligence tool eg cognos process engineering expertise design optimize business process enhanced efficiency alignment organizational goal understanding agile environment writing user story condition satisfaction part agile scrum process pmi professional business analysis pmi pba iiba certified business analysis professional cbap scrum alliance certified scrum master csm certified scrum product owner cspo whats competitive compensation benefit generous time policy day summer week winter holiday break k dcpp matching annual bonus program great collaborative environment casual dog friendly innovative office space dont take word x virginia business best place x washingtonian great place x washington post top workplace x st louis post dispatch best place,VA
Business Analyst,Business Systems Analyst,JW Aluminum,"Charleston, SC 29492",91000.0 - 120000.0,3+,jw aluminum search experienced business system analyst department serve key member business application successful support erp business system across full lifecycle person also ensure business user access data reporting necessary success essential function hand configuring implementing oracle eb major erp system sap ifs dynamic full understanding end system testing multi tier system dev test prod working erp vendor identify correct bug deficiency system ability understand business process relationship maintain harmony efficiency across business function ability translate business specification system design ability communicate technical term issue plain language business user ability think critically understand upstream downstream implication change interconnected system analytical reporting tool considered plus year sql based database query development query optimization writing stored procedure view data cube multidimensional reporting plus working knowledge system integration etl bb communication working knowledge software development power platform net plus working knowledge manufacturing environment system ability plan execute manage complex project saas delivery relates vendor continuous delivery minimum bachelors degree business administration management system technology minimum year business system excellent leadership communication business partnering along facilitation problem resolution ability solid organizational time management capability multitask fast paced environment demonstrated commitment zero incident safety culture teammate engagement active teamwork continuous improvement practicing jws target behavior occasional evening weekend meet deadline ability travel ability reside charleston sc area type full time pay per year benefit k matching dental insurance assistance program flexible spending account health insurance health saving account life insurance referral program relocation assistance tuition reimbursement vision insurance person,SC
Business Analyst,Regulatory Reporting Business Analyst,Infosys,"Atlanta, GA",,4-6,infosys seeking regulatory reporting business analyst consultant interface key stakeholder business analysis domain proficiency across different stage software development life cycle project initiation elicitation application architecture definition design testing play important creating document initial data analysis also deliver brds requirements specification module application lead validation type functional non functional testing support activity related tracking allocation status reporting part learning culture teamwork collaboration encouraged excellence rewarded diversity respected valued jersey city nj charlotte nc atlanta ga plano tx located within commuting distance willing relocate area may require travel project authorized united state without based visa sponsorship welcome infosys unable immigration sponsorship time bachelors degree foreign equivalent accredited institution also consider three year progressive specialty lieu every year education least year technology regulatory reporting aml capital market derivative trade surveillance data analysis sql preferred atleast year working financial service industry preferably regulatory reporting risk capital market trade surveillance transaction reporting cftc emir mifid ii strong process various financial instrument derivative otc etd well experienced data analysis analyzing validating documenting business preparing brd frd use case user story user acceptance criterion backlog well versed sdlc method like agile scrum waterfall methodology ppt create business oriented presentation business sponsor senior management sql plsql python data analysis tool added advantage good presentation articulation make presentation senior leadership manage effective communication business partner technology planning co ordination project management desire management consulting environment requires regular travel estimated annual compensation range based jersey city nj min max along competitive pay full time infosys also eligible following benefit medical dental vision life insurance long term short term disability health dependent care reimbursement account insurance accident critical illness hospital indemnity legal k plan contribution dependent level paid holiday plus entail sitting well working computer extended period time communicate telephone email face travel may per,GA
Business Analyst,Business Process Analyst Senior,General Dynamics Information Technology,"Bossier City, LA",94676.0 - 128092.0,3+,type requisition pipeline clearance level currently possess none clearance level obtain none public trust none family process operational efficiency communication microsoft excel microsoft office certification none year related u citizenship seize make personal impact business process analyst senior supporting technology shared service tss pmo gdit place make meaningful contribution challenging project grow rewarding career gdit people differentiator business process analyst senior help ensure today safe tomorrow smarter gdit committed strategic workforce planning cultivating pipeline talented professional anticipated future need active opening time welcome expression interest individual aligned business process analyst senior submitting allow u consider future opportunity arise encourage would like considered become available thank interest gdit value desire part look forward possibility connecting future business procses analyst senior make impact develop performance indicator measure grantee progress towards programmatic outcome identify performance baseline design update monitoring tool instrument quantitative qualitative analysis grantee performance outcome oriented data assessment lead harmonize assist analyzing documenting clients business process communicate develop technical personnel constructing basic conceptual business process flow visio data dictionary configuration business rule business document system document lead harmonize assist planning designing business process assist formulating recommendation improve support business activity help coordinate assist creation user acceptance test scenario used testing business application verify client eg edge case etc incorporated system design closely technical lead developer develop modify system documentation meet client need explore potential solution coordinate sequence myriad detailed user story technical lead support sprint planning activity execute demo user acceptance testing assist analyzing testing result phase participate technical review inspection verify intent change carried phase project support product owner management product feature lead assist management collaboration session using tool jira confluence assist research assessment business goal objective need align technology solution business initiative assist product owner define prioritize backlog solution effectively address business program priority youll need succeed technical training certification degree year exceptional analytical exceptional written verbal communication expertise office suite advanced excel analytical acumen effective written communication monitoring evaluation monitoring program monitoring tool working knowledge tableau software preferred gdit place k company match comprehensive health wellness package internal mobility dedicated helping career professional growth opportunity paid education certification cutting edge technology learn rest recharge paid vacation holiday likely range however guarantee compensation rather set based geographic possibly contractual could fall outside range scheduled weekly hour travel none telecommuting option hybrid usa la bossier city additional usa la home office lahome total reward gdit benefit package u based employee includes variety medical plan option health saving account dental plan option vision plan k plan offering ability contribute pre post tax dollar irs annual limit receive company match encourage life balance gdit offer employee full flex week possible variety plan vacation sick personal time holiday paid parental military bereavement jury leave ensure employee protect income offering short long term disability benefit life accidental death dismemberment personal accident critical illness business travel accident insurance provided available regularly review total reward package ensure offering competitive reflect employee told u value gdit global technology professional service company delivers consulting technology mission service every major agency across u government defense intelligence community expert extract power technology create immediate value deliver solution edge innovation operate across country worldwide offering leading capability digital modernization ai ml cloud cyber application development together client strive create safer smarter world harnessing power deep expertise advanced technology join talent community stay career opportunity event gditcom tc individual disability protected veteran,LA
