search_category,job_title,company_name,location,job_description,salary,experience_years
Business Analyst,"Analyst II, Digital Loss Prevention Analytics NA",NIKE,"New York, NY 10001","Open to remote work except in South Dakota, Vermont and West Virginia.
The annual base salary for this position ranges from $89,800.00 in our lowest geographic market to $177,200.00 in our highest geographic market. Actual salary will vary based on a candidate's location, qualifications, skills and experience.
Information about benefits can be found here.
WHO YOU’LL WORK WITH
The Digital Loss Prevention (DLP) team are experts at identifying fraud, abuse and systematic loopholes that result in financial losses in North America. They work as a team to deliver solutions that protect profit and reduce friction for our members to maximize investment in the business and deliver the best possible product to consumers. This role will report to the DLP Analytics manager and work closely with the DLP Quality Assurance and Fraud Insights team.
WHO WE ARE LOOKING FOR
We are looking for a Business Intelligence Data Analyst to join the NA DLP team. You will be expected to be a self-starter and an agile problem solver with comfort and curiosity in leveraging experience to solve complex data problems and learning new techniques as required.
The ideal candidate takes ownership in all 3 phases of great data work: technical excellence in writing efficient code/pipelines, implement strong data visualization principles to aim at business questions, turn information to insight and communicate to technical and non-technical stakeholders.
Bachelor’s degree in data science, statistics, math, computer science, business analytics or related field. Will accept any suitable combination of education, experience and training
2+ years of experience synthesizing insights from data
Highly Advanced knowledge of SQL and relational databases; experience with concepts such Window Functions, Complex Joins, PIVOT/UNPIVOT, query optimization etc.
Strong understanding of data visualization principles and experience in with at least one dashboarding tool (Tableau, Power BI, Looker etc.)
Demonstrated ability to build self-serve tools for technical and non-technical stakeholders that answer common questions and/or increase data literacy across the organization
Ability to design metrics that help evaluate the health of the business and the success of our team, including any ETL development needed
Demonstrated ability to take ambiguous problems and solve them in a structured, hypothesis-driven and data-supported way
Preferred Qualifications
Familiarity with Python/R for scripting, predictive and descriptive modelling, and data visualization
Experience with Tableau; including optimizing published work in tableau server
Familiarity with data warehousing tools Databricks and/or Snowflake
Experience in Fraud, DLP or digital commerce analytics
Background with analytics tools (Spark, Git, Jupyter) and cloud computing platforms (AWS preferred)
WHAT YOU’LL WORK ON
This role will provide support for Nike Direct Digital Loss Prevention in North America. You will use data to reduce risk from abusive customers and reduce friction and inefficiency throughout Nike Direct to all consumers. You will be encouraged to learn and deliver insights and solutions to improve operational efficiency. You will be considered a SME within the department and will be able to provide mentorship and assistance to internal and cross-functional teammates. You will be comfortable with end-to-end ownership of accurate and agile data products/dashboards and working in ambiguity to solve open ended business problems with all available Nike data sets
We offer a number of accommodations to complete our interview process including screen readers, sign language interpreters, accessible and single location for in-person interviews, closed captioning, and other reasonable modifications as needed. If you discover, as you navigate our application process, that you need assistance or an accommodation due to a disability, please complete the Candidate Accommodation Request Form.","$89,800 - $177,200 a year",2+
Business Analyst,Analyst Business Support,Enbridge,"Cisco, TX","Posting End Date:
October 31, 2025
Employee Type:
Regular-Full time
Union/Non:
This is a non-union position
Being a part of our energy means being a part of endless opportunities and a growing team. Our Power Operations organization is looking for a Business Support Analyst to join their dynamic team! In this role you will be responsible for providing support to the regional manager, Plant Managers, and Operations Coordinators in the region. This includes administration of project finances, A/P, supply chain, payment requests, authorization for expenditures, and other duties as necessary to support the business needs of the operating facilities.
Does this sound like the opportunity you've been looking for? We would love to hear from you. Apply today! #joinourteam
What You Will Do:
Support processing of invoices, work orders, purchase orders, check requests for regional business.
Support A/P functions such as input, coding, and processing.
Support distribution of landowner payments.
Support site staff with vendor set ups and ISN issues.
Support expenditure and project administration.
Administration of marking and filing orders.
Support annual operations budget functions, such as preparation, project creation, and account verifications.
Who You Are:
A related university degree or technical diploma with limited experience or a combination of related certification and a minimum of five years of related experience.
Self-starter with a strong dedication to excellence.
Ability to work independently using sound judgement and attention to detail.
Great teammate focused on a results-based approach to support business activities.
Advanced computer skills in standard suite software (Word, Excel, PowerPoint, etc.).
Willingness to learn and train individuals as necessary with flexibility on task assignments.
Excellent interpersonal skills.
Proven verbal & written communications skills.
Multitasking skills and the ability to work well under pressure.
Strong customer focus with the ability to make valuable contributions to both company & customers.
Physical requirements include but are not limited to:
Grasping, kneeling, light – moderate lifting (objects up to 50 pounds), reaching above shoulder, repetitive motion, typing, sitting, standing, visual requirement (able to see screens, detect color coding, read fine print), hearing requirement and the ability to work in tight spaces.
Mental requirements Include but are not limited to:
Ability to: understand, remember and apply oral and/or written instructions or other information, understand complex problems and collaborate/explore alternative solutions, prioritize thoughts and ideas into understandable terminology, coordinate and prioritize work schedule on a short-term basis, make decisions which have moderate impact on the immediate work unit and monitor impact outside this area, understand and follow basic instructions and guidelines, complete routine forms, compose letters, outlines, memoranda and basic reports and communicate with individuals via telephone.
At Enbridge, we are dedicated to our core value of Inclusion. We are proud to be an Equal Opportunity Employer . We are committed to providing employment opportunities to all qualified individuals, without regard to age, race, color, national or ethnic origin, religion, sex, sexual orientation, gender identity or expression, marital status, family status, veteran status, Indigenous status, disability, or any other reason protected by federal, state, or local law. Applicants with disabilities can request accessible formats, communication supports, or other accessibility assistance by contacting careers@enbridge.com .
Information For Applicants:
Applications can be submitted via our online recruiting system only.
We appreciate your interest in working with us; however, only those applicants selected for interviews will be contacted.
Final candidates for this position may be required to undergo a security screening, including a criminal records check.
To learn more about us, visit www.enbridge.com",N/A,N/A
Business Analyst,Business Systems Analyst,IDR Inc.,"Irving, TX 75060","IDR is seeking a Business Systems Analyst to join one of our top clients in Irving, TX. This role is responsible for gathering and documenting detailed business and system requirements, designing operational workflows, and producing critical project documentation including charters, status reports, and meeting minutes. The analyst will engage directly with stakeholders across departments including Radiology, Pharmacy, Lab, and other ancillary services, ensuring alignment between business needs and technology solutions.
Position Overview/Responsibilities for the Business Systems Analyst:
This positions will play a key role in leading EMR and third-party system implementations within healthcare provider environments such as hospitals and clinics.
Required Skills for Business Systems Analyst:
3+ years experience as a Business Systems Analyst!
Must have prior experience within Healthcare / Clinical industry.
Hands on experience with EMR Systems (Epic, Cerner, Athena)
Hands on experience with 3rd party Healthcare Applications (Sectra, Waystar, Capsule, Softbank)
Must have Bachelor's degree.
What's in it for you?
Competitive compensation package Full Benefits; Medical, Vision, Dental, and more! Opportunity to get in with an industry leading organization Close-knit and team-oriented culture
Why IDR?
25+ Years of Proven Industry Experience in 4 major markets Employee Stock Ownership Program Medical, Dental, Vision, and Life Insurance ClearlyRated's Best of Staffing® Client and Talent Award winner 12 years in a row

#LI-Onsite",$50 an hour,3+
Business Analyst,3 Data Analyst Contractors,Financial Additions,"14881 Quorum Dr Ste 330, Dallas, TX 75254","Financial Addidtions is searching for a Data Analyst for a 3+ month contract to work on a special project within a master data/vendor database. This is an onsite position in north Dallas and requires a quick start date. Applicant must be able to start within 10 days.

Qualifications include:
2+ years in Data Analyst role working on master data
Expert -level Excel skills
Strong Winshuttle knowledge
SAP S4 Hana vendor/customer database/profile knowledge
Bachelors in data analytics, business, accounting, or similar field
#INDD",N/A,2+
Business Analyst,Business Systems Analyst Sr (Hybrid),Lower Colorado River Authority,"Austin, TX 78744","Job No: 499972
FT/PT: Full-time
Regular/Project/Seasonal: Regular
Location: Austin, TX 78744
City: Austin
State: Texas
Categories: Administrative/Support, Information Technology/Cyber, Hybrid
Are you a IBM Maximo expert with a passion for reporting and system optimization? The Lower Colorado River Authority is seeking a Senior Business Systems Analyst to support technology initiatives within our Transmission operations. You'll play a central role in advancing our technology roadmap, working with IBM Maximo, SQL (Oracle & SQL Server), and Power BI to deliver impactful solutions across our systems.
You will be trusted to:
Serve as a Maximo subject matter expert, ensuring the system supports Transmission's Asset Work Management team by identifying functional improvements and aligning capabilities with evolving business processes
Analyze and report on Maximo data to provide insights into Transmission business operations, with a focus on compliance, work planning, and QA/QC
Build and maintain dashboards and reports using Power BI, and contribute to workflow improvements through the Microsoft Power Platform, including Power Automate
Leverage your understanding of Transmission systems to inform tool development that improves operational efficiency
Utilize TOAD Data Point for querying and analyzing data to support asset and work management needs
Collaborate with cross-functional teams using JIRA to track tasks, document issues, and support project delivery

You qualify with:
Nine or more years of experience in developing and documenting business requirements and serving as a liaison between business partners & IT or other relevant experience.
A degree(s) in business, computer science, information systems or relevant field may be substituted per LCRA guidelines for certain years of experience.
You are a great fit with:
Strong knowledge of IBM Maximo, particularly
Experience with Power BI and Power platform for reporting, dashboards, and workflow automation
Proficiency in SQL (Oracle and SQL Server) for querying and analyzing operational data
Familiarity with PeopleSoft, HTML, and TOAD Data Point
Understanding of Transmission systems or utility operations
Skilled in communicating with both technical and business users to gather requirements and explain solutions
Ability to plan, prioritize, and manage multiple workstreams, balancing quick wins with longer term-initiatives
A collaborative, problem solving mindset focused on improving user experience and system effectiveness

You gain:
Competitive salary & medical, dental, vision and legal insurance
Paid time off, including time for vacation, sick and family care leave
401(k) match up to 8% that includes a student loan 401(k) contribution program option
Life and disability insurance
Wellness program including wellness incentive
Extensive learning & development programs
And more - all to create a compelling and rewarding work environment.


Equal Opportunity Employer
LCRA provides equal employment opportunities and a work environment free of discrimination and harassment. All employment decisions at LCRA are based on business need, job requirement and individual qualifications, without regard to race, color, religion, gender identity, national origin, age, disability, sexual orientation, genetic information, or veteran status in accordance with applicable federal and state legal requirements governing nondiscrimination in employment.
LCRA is committed to working with and providing reasonable accommodations to job applicants with physical or mental disabilities. Applicants with a disability who require a reasonable accommodation for any part of the application or hiring process can contact LCRA Human Resources (512) 578-4004 or email lcra.benefits@lcra.org. Reasonable accommodations will be determined on a case-by-case basis.
Applications close: 10/24/2025 Central Daylight Time",N/A,N/A
Business Analyst,Sr. Business Analyst,Homeworks Energy,"101 Station Landing, Medford, MA 02155","Senior Business Analyst
Position Type: Full-time salaried position eligible for performance bonus. This position will require working onsite in our Medford, MA office at least twice per week. Hybrid flexibility can be offered.
Job Summary:
The Senior Business Analyst plays a critical role in aligning business operations with technology solutions. This position partners closely with stakeholders across departments—such as Sales, Operations, Marketing, and Finance—to understand challenges, identify opportunities, and drive improvements through systems and data. The Senior Business Analyst helps define requirements, streamline workflows, and ensure successful delivery of technology-enabled projects that improve efficiency, scalability, and customer experience.
Essential Functions:
The Essential Functions are representative, but not all-inclusive, of the knowledge, skills, and abilities required to perform this job. Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions of this position.
Business Analysis & Requirements Gathering:
Partner with department leaders and process owners to understand current pain points, operational needs, and business goals.
Lead requirements gathering sessions, conduct stakeholder interviews, and analyze workflows to translate business needs into clear technical specifications.
Prepare and maintain business requirements, user stories, and process flow diagrams.
Cross-functional Collaboration & Solution Alignment:
Collaborate with Salesforce, Software, and IT Operations teams to ensure solution design is feasible, prioritized appropriately, and aligned with business objectives.
Support QA/UAT efforts and change management to ensure effective rollout and user adoption of tools and processes.
Reporting, KPIs & ROI Analysis:
Perform data analysis and reporting.
Analyze and track key performance indicators (KPIs) to measure project effectiveness.
Support the evaluation and communication of ROI for technology initiatives.
Perform additional tasks as required.
Education & Experience:
Bachelor’s degree in Business, Information Systems, or a related field (Master’s a plus).
5+ years of business analysis experience, preferably in a fast-paced, operations-heavy environment.
Previous experience working in the field service industry (construction a plus!)
Strong understanding of business systems and workflows in areas like CRM (Salesforce), field operations, scheduling, and customer service.
Hands-on experience with tools like Jira, Confluence, Lucidchart/Visio, and Excel; familiarity with Agile and Waterfall methodologies.
Ability to work independently and cross-functionally, managing multiple priorities and stakeholders.
Excellent written and verbal communication skills; able to present findings to both technical and non-technical audiences.
Python is a plus
Requires proficiency in reading, writing, and communicating in English
Supervisory Responsibilities:
This is an individual contributor position with no supervisory responsibilities.
Work Environment:
Hybrid position: This position is a flexible work model that combines remote and on-site work. When working remotely, the employee is required to have a workspace free of distraction during work hours to perform job duties.
Physical Demands:
Requires sitting at a desk for long periods of time, performing tasks on a computer, the ability to move within the office to attend meetings, access equipment, or interact with colleagues.
Equal Opportunity Employer:
At HomeWorks Energy, we celebrate diversity, inclusion, and collaboration. As an Equal Opportunity Employer, we do not discriminate against race, color, religion, national origin, sex, age, gender identity, or expression, sexual orientation, physical or mental disability, veteran status, or any other applicable characteristics. All employment decisions are based on qualifications, skills, and experiences needed to successfully perform the job.","$95,000 - $115,000 a year",5+
Business Analyst,Senior Business Analyst,CARFAX,"Centreville, VA 20120","Join Team CARFAX as a Senior Business Analyst!
Isn't it time you bragged about where you work? At CARFAX, we do, every day. We pride ourselves on being mission-focused on helping to grow a brand built on accuracy and integrity. We care deeply about our products and our customers. We’re more than just a company: We help millions of consumers make more-informed decisions every day. We know that our teammates are our most valuable asset, and we value a balanced life while tackling challenging projects in a fast-paced environment.
We’re seeking a Senior Business Analyst to focus on gathering business and technical requirements and helping implement a diverse set of projects within the Business Technology organization. You’ll work hand in hand with a driven set of technologists, project managers and business and technology leaders from across the enterprise. You’ll thrive in a team environment where you are well supported and can help launch “BEST-IN-MARKET” products to our customers.
What you’ll be doing:
Lead the eliciting, analyzing, validating and managing of requirements, business processes and high-level solution designs in partnership with stakeholders, project managers and technical teams
Identify system requirements; develop procedures and systems modifications to meet these specifications
Collaborate with business stakeholders and project managers to define project scope, and prioritize the product backlog
Create, refine and maintain user stories and associated deliverables such as process flows and test cases to meet stakeholder needs
Work with the business to thoroughly understand business needs to be supported by the systems and technology
Determine how project changes will affect business operations and systems
Respond to inquiries and provide advice to the business regarding current and potential system inputs, processes, and outputs
Perform detailed dependency analysis to engage the right technical teams for cross-functional solution building
Act as a liaison facilitating communication between technology teams and/or outside vendors.
Research, identify, and recommend software and applications that will improve the current state of systems
What we’re looking for:
A minimum 10 years of relevant experience focusing on both technical and business analysis, or with considerable experience delivering technical IT projects
Bachelor’s degree required, preferably in IS, IT, or a business area discipline (i.e. accounting, marketing,) or equivalent education/experience
Demonstrated ability to execute on tasks that are sometimes vaguely defined using prior experience, analytical skills, and available research
Strong organizational skills that reflect the ability to perform and prioritize handling multiple projects in a fast-paced environment
Effective communication and leadership skills
Excellent problem-solving and analytical skills
Experience creating sequence, data flow, and process flow diagrams
Proficient in Microsoft Office (Outlook, Word, Excel, PowerPoint) and project documentation and requirements tools (e.g., Atlassian)
Familiarity with SQL-based relational databases including aggregating/extracting data from a SQL database and Business Intelligence Tools (e.g., Cognos)
Process engineering expertise to design and optimize business processes for enhanced efficiency and alignment with organizational goals
Understanding of Agile environments and experience writing user stories and conditions of satisfaction as part of the Agile / Scrum process
PMI Professional in Business Analysis (PMI-PBA) or IIBA Certified Business Analysis Professional (CBAP)
Scrum Alliance Certified Scrum Master (CSM) and/or Certified Scrum Product Owner (CSPO)
What’s in it for you:
Competitive compensation, benefits and generous time-off policies
4-Day summer work weeks and a winter holiday break
401(k) / DCPP matching
Annual bonus program
Great team and collaborative environment
Casual, dog-friendly, and innovative office spaces
Don’t just take our word for it:
10X Virginia Business Best Places to Work
10X Washingtonian Great Places to Work
9X Washington Post Top Workplace
3X St. Louis Post-Dispatch Best Places to Work",N/A,10+
Business Analyst,Business Systems Analyst,JW Aluminum,"Charleston, SC 29492","JW Aluminum is in search of an experienced Business Systems Analyst in our IT department to serve as a key member of the Business Applications team. The successful candidate will support ERP and other business systems across their full lifecycle. This person will also ensure that business users have access to the data and reporting necessary for their success.
Essential Functions, Duties and Responsibilities
· Hands-on experience configuring or implementing Oracle EBS and/or a major ERP system (SAP, IFS, Dynamics)
· Full understanding and experience with end-to-end system testing in a multi-tier system (dev/test/prod)
· Experience working with ERP vendors to identify and correct bugs or deficiencies in systems
· Ability to understand business processes and the relationships between them to maintain harmony and efficiency across business functions
· Ability to translate business requirements into specifications and system designs
· Ability to communicate technical terms and issues in plain language to business users
· Ability to think critically and understand the upstream/downstream implications of changes in interconnected systems.
· Analytical reporting tool experience considered a plus
· 3+ years of experience with SQL-based databases including query development, query optimization, writing stored procedures and views
· Experience with data cubes/multidimensional reporting is a plus
· Working knowledge of system integrations (ETL, B2B communications)
· Working knowledge of software development (Power Platforms and .net are a plus)
· Working knowledge of manufacturing environments and systems
· Ability to plan, execute and manage complex projects
· Experience in SaaS delivery as it relates to vendor continuous delivery
Minimum Requirements
· Bachelor’s Degree in Business Administration, Management Information Systems or Information Technology
· Minimum 8 years of Business Systems experience
Excellent leadership, communication, and business partnering skills along with facilitation, and problem resolution abilities
· Solid organizational skills, including time-management
· Capability to multitask in a fast-paced environment
· Demonstrated commitment to zero incident safety culture, teammate engagement, active teamwork, continuous improvement while practicing JW’s Target Behaviors
· Occasional evening and weekend work to meet deadlines.
· Ability to travel as required
· Ability to reside in Charleston, SC area
Job Type: Full-time
Pay: $91,000.00 - $120,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Relocation assistance
Tuition reimbursement
Vision insurance
Work Location: In person","$91,000 - $120,000 a year",3+
Business Analyst,Regulatory Reporting Business Analyst,Infosys,"Atlanta, GA","Infosys is seeking a Regulatory reporting Business Analyst. As a consultant, you will interface with key stakeholders and apply your Business Analysis skills and Domain proficiency across different stages of the Software Development Life Cycle including Project initiation, Requirements Elicitation, Application Architecture definition, Design and Testing. You will play an important role in creating requirements documents and in initial Data Analysis. You will also deliver BRDs, Requirement’s specifications for modules/applications, and lead validation for all types of functional/non-functional testing and support activities related to tracking, work allocation and status reporting. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.

Location for this position is Jersey City, NJ or Charlotte, NC or Atlanta, GA or Plano, TX. Candidate must be located within commuting distance or be willing to relocate to the area. This position may require travel to project locations.

Candidates authorized to work for any employer in the United States without employer-based visa sponsorship are welcome to apply. Infosys is unable to provide immigration sponsorship for this role at this time.

Required Qualifications:
Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.
At least 4 years of experience with Information Technology.
Experience in Regulatory reporting / AML/ Capital Markets / Derivatives.
Experience in Trade surveillance, Data Analysis, SQL.


Preferred Qualifications:
Atleast 4-6 years of experience working in Financial Services industry, preferably Regulatory reporting / Risk/ /Capital Markets/Trade Surveillance.
Transaction reporting experience in Cftc, emir, Mifid II.
Strong processes experience in various financial instruments including Derivatives – OTC / ETD.
Well experienced with Data Analysis, analyzing, validating and documenting business requirements, preparing BRD, FRD, Use Cases, User Stories, User Acceptance Criteria and Backlogs. He should be is well versed with SDLC methods like Agile / SCRUM and Waterfall methodologies.
Experience in PPT to create business oriented presentations for Business Sponsors and senior management.
Experience in SQL, PLSQL, Python or any other data analysis tool will be added advantage.
Good presentation and articulation skills – being able to make presentation to senior leadership as required, manage effective communication between business partners and technology teams
Planning and Co-ordination skills
Experience with project management
Experience and desire to work in a management consulting environment that requires regular travel.
Estimated annual compensation range for candidate based on Jersey City, NJ will be Min - 82493 to Max -107241.

Along with competitive pay, as a full-time Infosys employee you are also eligible for the following benefits :-
Medical/Dental/Vision/Life Insurance.
Long-term/Short-term Disability.
Health and Dependent Care Reimbursement Accounts.
Insurance (Accident, Critical Illness , Hospital Indemnity, Legal).
401(k) plan and contributions dependent on salary level.
Paid holidays plus Paid Time Off.
The job entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face. Travel may be required as per the job requirements.",N/A,4-6
Business Analyst,Business Process Analyst Senior,General Dynamics Information Technology,"Bossier City, LA","Type of Requisition:
Pipeline
Clearance Level Must Currently Possess:
None
Clearance Level Must Be Able to Obtain:
None
Public Trust/Other Required:
None
Job Family:
Process and Operational Efficiency
Job Qualifications:
Skills:
Communication, Microsoft Excel, Microsoft Office
Certifications:
None
Experience:
3 + years of related experience
US Citizenship Required:
No
Job Description:
Seize your opportunity to make a personal impact as a Business Process Analyst Senior supporting Technology Shared Services (TSS) PMO team. GDIT is your place to make meaningful contributions to challenging projects and grow a rewarding career.

At GDIT, people are our differentiator. As a Business Process Analyst Senior, you will help ensure today is safe and tomorrow is smarter.
GDIT is committed to strategic workforce planning and cultivating a pipeline of talented professionals for anticipated future needs. While there is not an active opening for this position at this time, we welcome expressions of interest from individuals with experience and qualifications aligned to the Business Process Analyst Senior role.
Submitting your information will allow us to consider you for future opportunities as they arise. We encourage you to apply if you would like to be considered when positions become available.
Thank you for your interest in GDIT. We value your desire to be part of our team and look forward to the possibility of connecting in the future.
HOW A BUSINESS PROCSES ANALYST SENIOR MAKES AN IMPACT:
Develop performance indicators to measure grantee progress towards programmatic outcomes and to identify performance baselines.
Designs and updates monitoring tools/instruments for quantitative and qualitative analysis of grantee performance and outcome-oriented data assessment.
Lead, harmonize, and assist in analyzing and documenting clients’ business requirements and processes; communicate and develop these requirements to technical personnel by constructing basic conceptual business and process flows (Visio), including data dictionaries, configurations business rules business requirements documents, system requirements documents.
Lead, harmonize, and assist in planning and designing business processes; assist in formulating recommendations to improve and support business activities.
Help coordinate and assist the creation of user acceptance test scenarios to be used in testing the business applications to verify that client requirements (e.g., edge cases, etc.) are incorporated into the system design.
Work closely with technical leads and developers to develop and modify systems requirements documentation to meet client needs and explore potential solutions.
Coordinate and sequence a myriad of detailed user stories and requirements to technical leads in support of sprint planning activities.
Execute demos and user acceptance testing assists in analyzing testing results in all phases.
Participate in technical reviews and inspections to verify 'intent of change' is carried out through phases of project.
Support Product Owners in their management of requirements and product features.
Lead and assist with the management of requirements and collaboration sessions using tools (JIRA and Confluence).
Assist in the research and assessment of business goals, objectives, and needs to align information technology solutions with business initiatives.
Assist Product Owner to define and prioritize the team backlog of work so that solution effectively addresses business and program priorities.
WHAT YOU’LL NEED TO SUCCEED:
Technical Training, Certification(s) or Degree, 3+ years of experience
Exceptional analytical skills.
Exceptional written and verbal communication skills.
Expertise with MS Office Suite, advanced Excel skills
Analytical Acumen, Effective Written Communication, Monitoring and Evaluation (M&E), Monitoring Programs, and Monitoring Tools
Working knowledge of Tableau software preferred.
GDIT IS YOUR PLACE
401K with company match
Comprehensive health and wellness packages
Internal mobility team dedicated to helping you own your career
Professional growth opportunities including paid education and certifications
Cutting-edge technology you can learn from
Rest and recharge with paid vacation and holidays
The likely salary range for this position is $94,676 - $128,092. This is not, however, a guarantee of compensation or salary. Rather, salary will be set based on experience, geographic location and possibly contractual requirements and could fall outside of this range.
Scheduled Weekly Hours:
40
Travel Required:
None
Telecommuting Options:
Hybrid
Work Location:
USA LA Bossier City
Additional Work Locations:
USA LA Home Office (LAHOME)
Total Rewards at GDIT:
Our benefits package for all US-based employees includes a variety of medical plan options, some with Health Savings Accounts, dental plan options, a vision plan, and a 401(k) plan offering the ability to contribute both pre and post-tax dollars up to the IRS annual limits and receive a company match. To encourage work/life balance, GDIT offers employees full flex work weeks where possible and a variety of paid time off plans, including vacation, sick and personal time, holidays, paid parental, military, bereavement and jury duty leave. To ensure our employees are able to protect their income, other offerings such as short and long-term disability benefits, life, accidental death and dismemberment, personal accident, critical illness and business travel and accident insurance are provided or available. We regularly review our Total Rewards package to ensure our offerings are competitive and reflect what our employees have told us they value most.
We are GDIT. A global technology and professional services company that delivers consulting, technology and mission services to every major agency across the U.S. government, defense and intelligence community. Our 30,000 experts extract the power of technology to create immediate value and deliver solutions at the edge of innovation. We operate across 50 countries worldwide, offering leading capabilities in digital modernization, AI/ML, Cloud, Cyber and application development. Together with our clients, we strive to create a safer, smarter world by harnessing the power of deep expertise and advanced technology.
Join our Talent Community to stay up to date on our career opportunities and events at
gdit.com/tc
.
Equal Opportunity Employer / Individuals with Disabilities / Protected Veterans","$94,676 - $128,092 a year",3+
